pattern,seed,method,RF
mS,0,AncesTree,6
mS,10,AncesTree,4
mS,12,AncesTree,5
mS,2,AncesTree,3
mS,3,AncesTree,7
mS,4,AncesTree,5
mS,5,AncesTree,5
mS,7,AncesTree,4
mS,8,AncesTree,5
mS,9,AncesTree,2
S,17,AncesTree,2
S,23,AncesTree,3
S,25,AncesTree,4
S,31,AncesTree,4
S,32,AncesTree,3
S,35,AncesTree,4
S,40,AncesTree,5
S,49,AncesTree,5
S,62,AncesTree,5
S,81,AncesTree,4
M,209,AncesTree,5
M,473,AncesTree,5
M,512,AncesTree,4
M,534,AncesTree,5
M,545,AncesTree,4
M,565,AncesTree,5
M,694,AncesTree,5
M,76,AncesTree,8
M,865,AncesTree,3
M,907,AncesTree,7
R,1140,AncesTree,5
R,17,AncesTree,2
R,2155,AncesTree,7
R,247,AncesTree,4
R,518,AncesTree,4
R,538,AncesTree,3
R,571,AncesTree,5
R,950,AncesTree,6
R,955,AncesTree,3
R,981,AncesTree,7
