m	p	s	samples	purity	coverage	width	ARI	RI	recall	precision
m5	mS	0	1	0.5	10000	0.00941309	0.988854175462	0.998106060606	0.98	1.0
m5	mS	0	1	0.5	1000	0.031194472	0.936015511391	0.988636363636	0.98	0.907407407407
m5	mS	0	1	0.5	200	0.0800184225	0.778523489933	0.954545454545	0.98	0.680555555556
m5	mS	0	1	0.5	500	0.046260122	0.809743441914	0.962121212121	0.98	0.720588235294
m5	mS	0	1	0.8	10000	0.0117008054545	0.988854175462	0.998106060606	0.98	1.0
m5	mS	0	1	0.8	1000	0.038450922	0.936015511391	0.988636363636	0.98	0.907407407407
m5	mS	0	1	0.8	200	0.098815445	0.793896380412	0.958333333333	0.98	0.7
m5	mS	0	1	0.8	500	0.054044016	0.925991189427	0.986742424242	0.98	0.890909090909
m5	mS	0	1	1.0	10000	0.0109153	0.988854175462	0.998106060606	0.98	1.0
m5	mS	0	1	1.0	1000	0.039980826	0.936015511391	0.988636363636	0.98	0.907407407407
m5	mS	0	1	1.0	200	0.0871907527273	0.988854175462	0.998106060606	0.98	1.0
m5	mS	0	1	1.0	500	0.0545724890909	0.977907949791	0.996212121212	0.98	0.98
m5	mS	0	2	0.5	10000	0.007241863125	1.0	1.0	1.0	1.0
m5	mS	0	2	0.5	1000	0.0236969873333	0.96772879146	0.994318181818	1.0	0.943396226415
m5	mS	0	2	0.5	200	0.0532125507143	0.880308296811	0.977272727273	1.0	0.806451612903
m5	mS	0	2	0.5	500	0.033260434	0.978296612956	0.996212121212	1.0	0.961538461538
m5	mS	0	2	0.8	10000	0.00902082	1.0	1.0	1.0	1.0
m5	mS	0	2	0.8	1000	0.0276246113333	0.978296612956	0.996212121212	1.0	0.961538461538
m5	mS	0	2	0.8	200	0.0630273964286	0.880308296811	0.977272727273	1.0	0.806451612903
m5	mS	0	2	0.8	500	0.0397460573333	0.96772879146	0.994318181818	1.0	0.943396226415
m5	mS	0	2	1.0	10000	0.00930865	1.0	1.0	1.0	1.0
m5	mS	0	2	1.0	1000	0.0311223364286	0.96772879146	0.994318181818	1.0	0.943396226415
m5	mS	0	2	1.0	200	0.0687680021429	0.880308296811	0.977272727273	1.0	0.806451612903
m5	mS	0	2	1.0	500	0.0437365564286	0.96772879146	0.994318181818	1.0	0.943396226415
m5	mS	0	3	0.5	10000	0.0063195062963	1.0	1.0	1.0	1.0
m5	mS	0	3	0.5	1000	0.0208425258824	0.989052002986	0.998106060606	1.0	0.980392156863
m5	mS	0	3	0.5	200	0.04871830625	0.878341013825	0.977272727273	0.98	0.816666666667
m5	mS	0	3	0.5	500	0.0297006623529	0.989052002986	0.998106060606	1.0	0.980392156863
m5	mS	0	3	0.8	10000	0.00754187111111	1.0	1.0	1.0	1.0
m5	mS	0	3	0.8	1000	0.0249429627451	0.989052002986	0.998106060606	1.0	0.980392156863
m5	mS	0	3	0.8	200	0.0555863576471	0.989052002986	0.998106060606	1.0	0.980392156863
m5	mS	0	3	0.8	500	0.035177812549	0.989052002986	0.998106060606	1.0	0.980392156863
m5	mS	0	3	1.0	10000	0.00809285925926	1.0	1.0	1.0	1.0
m5	mS	0	3	1.0	1000	0.0267742360784	0.989052002986	0.998106060606	1.0	0.980392156863
m5	mS	0	3	1.0	200	0.0595261533333	0.989052002986	0.998106060606	1.0	0.980392156863
m5	mS	0	3	1.0	500	0.0378546454902	0.989052002986	0.998106060606	1.0	0.980392156863
m5	mS	10	1	0.5	10000	0.00973097777778	0.884646410325	0.971794871795	1.0	0.819672131148
m5	mS	10	1	0.5	1000	0.0299212888889	0.816715356281	0.952564102564	1.0	0.729927007299
m5	mS	10	1	0.5	200	0.0641583777778	0.856542301629	0.964102564103	1.0	0.78125
m5	mS	10	1	0.5	500	0.0438312	0.834085342271	0.957692307692	1.0	0.751879699248
m5	mS	10	1	0.8	10000	0.009872765	0.884646410325	0.971794871795	1.0	0.819672131148
m5	mS	10	1	0.8	1000	0.034784592	0.9140969163	0.979487179487	1.0	0.862068965517
m5	mS	10	1	0.8	200	0.075445136	0.870431893688	0.967948717949	1.0	0.8
m5	mS	10	1	0.8	500	0.0448142018182	0.894308943089	0.974358974359	1.0	0.833333333333
m5	mS	10	1	1.0	10000	0.0105968833333	0.884646410325	0.971794871795	1.0	0.819672131148
m5	mS	10	1	1.0	1000	0.0335210916667	0.9140969163	0.979487179487	1.0	0.862068965517
m5	mS	10	1	1.0	200	0.084081102	0.879871434311	0.970512820513	1.0	0.813008130081
m5	mS	10	1	1.0	500	0.051287272	0.870431893688	0.967948717949	1.0	0.8
m5	mS	10	2	0.5	10000	0.00758973692308	0.924229808493	0.982051282051	1.0	0.877192982456
m5	mS	10	2	0.5	1000	0.0254420758333	0.919143054596	0.980769230769	1.0	0.869565217391
m5	mS	10	2	0.5	200	0.0558835908333	0.919143054596	0.980769230769	1.0	0.869565217391
m5	mS	10	2	0.5	500	0.0373990227273	0.909090909091	0.978205128205	1.0	0.854700854701
m5	mS	10	2	0.8	10000	0.00865209214286	0.944992947814	0.987179487179	1.0	0.909090909091
m5	mS	10	2	0.8	1000	0.0284094423077	0.924229808493	0.982051282051	1.0	0.877192982456
m5	mS	10	2	0.8	200	0.0660603408333	0.919143054596	0.980769230769	1.0	0.869565217391
m5	mS	10	2	0.8	500	0.0417531333333	0.919143054596	0.980769230769	1.0	0.869565217391
m5	mS	10	2	1.0	10000	0.00948295714286	0.944992947814	0.987179487179	1.0	0.909090909091
m5	mS	10	2	1.0	1000	0.0293865153846	0.924229808493	0.982051282051	1.0	0.877192982456
m5	mS	10	2	1.0	200	0.0706175033333	0.919143054596	0.980769230769	1.0	0.869565217391
m5	mS	10	2	1.0	500	0.0448437541667	0.919143054596	0.980769230769	1.0	0.869565217391
m5	mS	10	3	0.5	10000	0.00727385285714	0.944992947814	0.987179487179	1.0	0.909090909091
m5	mS	10	3	0.5	1000	0.0235105933333	0.924229808493	0.982051282051	1.0	0.877192982456
m5	mS	10	3	0.5	200	0.0552061777778	0.919143054596	0.980769230769	1.0	0.869565217391
m5	mS	10	3	0.5	500	0.0348394283333	0.919143054596	0.980769230769	1.0	0.869565217391
m5	mS	10	3	0.8	10000	0.00868844809524	0.944992947814	0.987179487179	1.0	0.909090909091
m5	mS	10	3	0.8	1000	0.0278491902564	0.924229808493	0.982051282051	1.0	0.877192982456
m5	mS	10	3	0.8	200	0.0651085633333	0.919143054596	0.980769230769	1.0	0.869565217391
m5	mS	10	3	0.8	500	0.0396196492308	0.924229808493	0.982051282051	1.0	0.877192982456
m5	mS	10	3	1.0	10000	0.00929121904762	0.944992947814	0.987179487179	1.0	0.909090909091
m5	mS	10	3	1.0	1000	0.0300281538462	0.924229808493	0.982051282051	1.0	0.877192982456
m5	mS	10	3	1.0	200	0.0702929694444	0.919143054596	0.980769230769	1.0	0.869565217391
m5	mS	10	3	1.0	500	0.0422963697436	0.924229808493	0.982051282051	1.0	0.877192982456
m5	mS	12	1	0.5	10000	0.00699597818182	0.735803693147	0.966131907308	0.935483870968	0.630434782609
m5	mS	12	1	0.5	1000	0.0210128181818	0.657284984946	0.95008912656	0.967741935484	0.526315789474
m5	mS	12	1	0.5	200	0.0562588375	0.632805341013	0.946524064171	0.935483870968	0.508771929825
m5	mS	12	1	0.5	500	0.0343160975	0.560386842759	0.926916221034	0.967741935484	0.428571428571
m5	mS	12	1	0.8	10000	0.00871878	0.735803693147	0.966131907308	0.935483870968	0.630434782609
m5	mS	12	1	0.8	1000	0.0273625	0.609363479971	0.939393939394	0.967741935484	0.47619047619
m5	mS	12	1	0.8	200	0.065485025	0.514789828749	0.910873440285	1.0	0.382716049383
m5	mS	12	1	0.8	500	0.0404397333333	0.632805341013	0.946524064171	0.935483870968	0.508771929825
m5	mS	12	1	1.0	10000	0.00925270909091	0.757618115739	0.969696969697	0.935483870968	0.659090909091
m5	mS	12	1	1.0	1000	0.0284111	0.752766624229	0.967914438503	0.967741935484	0.63829787234
m5	mS	12	1	1.0	200	0.070208375	0.547572160018	0.923351158645	0.967741935484	0.416666666667
m5	mS	12	1	1.0	500	0.0431085777778	0.632805341013	0.946524064171	0.935483870968	0.508771929825
m5	mS	12	2	0.5	10000	0.00611162666667	0.752766624229	0.967914438503	0.967741935484	0.63829787234
m5	mS	12	2	0.5	1000	0.0179178384615	0.769320078369	0.969696969697	1.0	0.645833333333
m5	mS	12	2	0.5	200	0.0428452436364	0.72175905151	0.96256684492	0.967741935484	0.6
m5	mS	12	2	0.5	500	0.0247991107143	0.769320078369	0.969696969697	1.0	0.645833333333
m5	mS	12	2	0.8	10000	0.00690837692308	0.752766624229	0.967914438503	0.967741935484	0.63829787234
m5	mS	12	2	0.8	1000	0.020896305	0.769320078369	0.969696969697	1.0	0.645833333333
m5	mS	12	2	0.8	200	0.0500015758333	0.752766624229	0.967914438503	0.967741935484	0.63829787234
m5	mS	12	2	0.8	500	0.0332422736364	0.72175905151	0.96256684492	0.967741935484	0.6
m5	mS	12	2	1.0	10000	0.00765288333333	0.748258189462	0.966131907308	1.0	0.62
m5	mS	12	2	1.0	1000	0.0230105846154	0.769320078369	0.969696969697	1.0	0.645833333333
m5	mS	12	2	1.0	200	0.0506857384615	0.769320078369	0.969696969697	1.0	0.645833333333
m5	mS	12	2	1.0	500	0.0310715142857	0.769320078369	0.969696969697	1.0	0.645833333333
m5	mS	12	3	0.5	10000	0.00485415208333	0.966861598441	0.996434937611	1.0	0.939393939394
m5	mS	12	3	0.5	1000	0.01537197	0.966861598441	0.996434937611	1.0	0.939393939394
m5	mS	12	3	0.5	200	0.0342697266667	0.85719134493	0.983957219251	0.935483870968	0.805555555556
m5	mS	12	3	0.5	500	0.0213980964444	0.920661858294	0.991087344029	1.0	0.861111111111
m5	mS	12	3	0.8	10000	0.00581629166667	0.966861598441	0.996434937611	1.0	0.939393939394
m5	mS	12	3	0.8	1000	0.0183848508333	0.966861598441	0.996434937611	1.0	0.939393939394
m5	mS	12	3	0.8	200	0.0406111955556	0.920661858294	0.991087344029	1.0	0.861111111111
m5	mS	12	3	0.8	500	0.0260944420833	0.966861598441	0.996434937611	1.0	0.939393939394
m5	mS	12	3	1.0	10000	0.00624832916667	0.966861598441	0.996434937611	1.0	0.939393939394
m5	mS	12	3	1.0	1000	0.0196557	0.966861598441	0.996434937611	1.0	0.939393939394
m5	mS	12	3	1.0	200	0.04396042375	0.966861598441	0.996434937611	1.0	0.939393939394
m5	mS	12	3	1.0	500	0.0277859145833	0.966861598441	0.996434937611	1.0	0.939393939394
m5	mS	2	1	0.5	10000	0.00775105	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	1	0.5	1000	0.0224238733333	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	1	0.5	200	0.0542464742857	0.88188976378	0.98	0.961538461538	0.833333333333
m5	mS	2	1	0.5	500	0.03324371	0.899946638207	0.983333333333	0.961538461538	0.862068965517
m5	mS	2	1	0.8	10000	0.00844862	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	1	0.8	1000	0.0273302222222	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	1	0.8	200	0.0648338571429	0.88188976378	0.98	0.961538461538	0.833333333333
m5	mS	2	1	0.8	500	0.0385467925	0.790989317232	0.96	1.0	0.684210526316
m5	mS	2	1	1.0	10000	0.00895728	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	1	1.0	1000	0.0317158	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	1	1.0	200	0.06547825	0.937913907285	0.99	0.961538461538	0.925925925926
m5	mS	2	1	1.0	500	0.044022625	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	2	0.5	10000	0.006447585	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	2	0.5	1000	0.021164398	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	2	0.5	200	0.043279687	0.885612608033	0.98	1.0	0.8125
m5	mS	2	2	0.5	500	0.0267474590909	0.939967982924	0.99	1.0	0.896551724138
m5	mS	2	2	0.8	10000	0.00834737777778	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	2	0.8	1000	0.0249606681818	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	2	0.8	200	0.0612097	0.899946638207	0.983333333333	0.961538461538	0.862068965517
m5	mS	2	2	0.8	500	0.0354337245455	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	2	1.0	10000	0.00748742307692	1.0	1.0	1.0	1.0
m5	mS	2	2	1.0	1000	0.0245249291667	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	2	1.0	200	0.0603411777778	0.899946638207	0.983333333333	0.961538461538	0.862068965517
m5	mS	2	2	1.0	500	0.03744554	0.939967982924	0.99	1.0	0.896551724138
m5	mS	2	3	0.5	10000	0.0061094	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	3	0.5	1000	0.0192317755556	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	3	0.5	200	0.0441829766667	0.885612608033	0.98	1.0	0.8125
m5	mS	2	3	0.5	500	0.027437566	0.885612608033	0.98	1.0	0.8125
m5	mS	2	3	0.8	10000	0.00689100512821	1.0	1.0	1.0	1.0
m5	mS	2	3	0.8	1000	0.0231003611111	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	3	0.8	200	0.0516344126667	0.885612608033	0.98	1.0	0.8125
m5	mS	2	3	0.8	500	0.0321948372222	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	3	1.0	10000	0.00737943076923	1.0	1.0	1.0	1.0
m5	mS	2	3	1.0	1000	0.0244603088889	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	3	1.0	200	0.0538541187879	0.939967982924	0.99	1.0	0.896551724138
m5	mS	2	3	1.0	500	0.0343028545455	0.939967982924	0.99	1.0	0.896551724138
m5	mS	3	1	0.5	10000	0.00557494509804	0.987033395124	0.99854862119	0.975903614458	1.0
m5	mS	3	1	0.5	1000	0.0177475287879	0.812618982866	0.974600870827	1.0	0.703389830508
m5	mS	3	1	0.5	200	0.043407987037	0.703027564392	0.955007256894	0.987951807229	0.573426573427
m5	mS	3	1	0.5	500	0.0278610925926	0.887703195368	0.986211901306	0.975903614458	0.826530612245
m5	mS	3	1	0.8	10000	0.00714380769231	0.974645114401	0.99709724238	0.987951807229	0.964705882353
m5	mS	3	1	0.8	1000	0.0197292807692	0.889990672191	0.986211901306	1.0	0.813725490196
m5	mS	3	1	0.8	200	0.052408462963	0.727169232292	0.959361393324	1.0	0.597122302158
m5	mS	3	1	0.8	500	0.0291415575758	0.884787425275	0.985486211901	1.0	0.805825242718
m5	mS	3	1	1.0	10000	0.00722904166667	0.974645114401	0.99709724238	0.987951807229	0.964705882353
m5	mS	3	1	1.0	1000	0.0201571888889	0.927952107497	0.991291727141	1.0	0.873684210526
m5	mS	3	1	1.0	200	0.0567533703704	0.815364486865	0.975326560232	0.987951807229	0.713043478261
m5	mS	3	1	1.0	500	0.0356706481481	0.843461185807	0.979680696662	0.987951807229	0.752293577982
m5	mS	3	2	0.5	10000	0.00416581304348	1.0	1.0	1.0	1.0
m5	mS	3	2	0.5	1000	0.0145461355556	0.922358121755	0.990566037736	1.0	0.864583333333
m5	mS	3	2	0.5	200	0.0314228766667	0.927183055176	0.991291727141	0.987951807229	0.881720430108
m5	mS	3	2	0.5	500	0.0192906484375	0.927952107497	0.991291727141	1.0	0.873684210526
m5	mS	3	2	0.8	10000	0.00509650436508	0.981089265619	0.997822931785	1.0	0.96511627907
