pattern,seed,mut_tree,enforced,inferred,mu,gamma,sigma,method,RF,recallT,precisionT,FscoreT,recallG,precisionG,FscoreG,recallMultiG,precisionMultiG,FscoreMultiG
pM,209,3,R,pS,6,4,2,MACHINA (Clomial),2,0.5,0.5,0.5,0.4,0.5,0.444444444444,0.428571428571,0.5,0.461538461538
pM,209,2,R,pS,6,4,2,MACHINA (Clomial),2,0.5,0.5,0.5,0.4,0.5,0.444444444444,0.428571428571,0.5,0.461538461538
pM,209,5,R,pS,6,4,2,MACHINA (Clomial),2,0.5,0.5,0.5,0.2,0.25,0.222222222222,0.285714285714,0.333333333333,0.307692307692
pM,209,4,R,pS,6,4,2,MACHINA (Clomial),2,0.5,0.5,0.5,0.4,0.5,0.444444444444,0.428571428571,0.5,0.461538461538
pM,209,1,R,pS,6,4,2,MACHINA (Clomial),2,0.25,0.25,0.25,0.2,0.25,0.222222222222,0.285714285714,0.333333333333,0.307692307692
pM,209,0,R,pS,6,4,2,MACHINA (Clomial),2,0.25,0.25,0.25,0.2,0.25,0.222222222222,0.285714285714,0.333333333333,0.307692307692
pM,512,1,R,pS,6,4,2,MACHINA (Clomial),6,0.8,0.666666666667,0.727272727273,0.2,0.25,0.222222222222,0.166666666667,0.166666666667,0.166666666667
pM,512,2,R,pS,6,4,2,MACHINA (Clomial),7,0.6,0.75,0.666666666667,0.4,0.5,0.444444444444,0.333333333333,0.333333333333,0.333333333333
pM,512,0,R,pS,6,4,2,MACHINA (Clomial),5,0.8,0.666666666667,0.727272727273,0.2,0.25,0.222222222222,0.166666666667,0.166666666667,0.166666666667
pM,534,3,R,pS,6,4,2,MACHINA (Clomial),5,0.6,0.6,0.6,0.8,1.0,0.888888888889,0.833333333333,0.833333333333,0.833333333333
pM,534,9,R,pS,6,4,2,MACHINA (Clomial),5,0.6,0.75,0.666666666667,0.8,1.0,0.888888888889,0.833333333333,0.833333333333,0.833333333333
pM,534,2,R,pS,6,4,2,MACHINA (Clomial),5,0.6,0.6,0.6,0.8,1.0,0.888888888889,0.833333333333,0.833333333333,0.833333333333
pM,534,8,R,pS,6,4,2,MACHINA (Clomial),5,0.4,0.666666666667,0.5,0.6,0.75,0.666666666667,0.666666666667,0.666666666667,0.666666666667
pM,545,1,R,pS,6,5,2,MACHINA (Clomial),6,0.75,0.5,0.6,0.5,0.6,0.545454545455,0.571428571429,0.666666666667,0.615384615385
pM,545,0,R,pS,6,5,2,MACHINA (Clomial),5,0.5,0.4,0.444444444444,0.5,0.6,0.545454545455,0.571428571429,0.666666666667,0.615384615385
pM,565,0,R,pPS,6,4,1,MACHINA (Clomial),1,0.5,1.0,0.666666666667,0.8,1.0,0.888888888889,0.833333333333,0.833333333333,0.833333333333
pM,694,1,R,pS,6,4,2,MACHINA (Clomial),1,0.6,0.75,0.666666666667,0.6,0.75,0.666666666667,0.666666666667,0.666666666667,0.666666666667
pM,694,0,R,pS,6,4,2,MACHINA (Clomial),1,0.6,0.75,0.666666666667,0.6,0.75,0.666666666667,0.666666666667,0.666666666667,0.666666666667
pM,76,0,R,pPS,8,4,1,MACHINA (Clomial),6,0.4,0.5,0.444444444444,0.6,0.75,0.666666666667,0.666666666667,0.5,0.571428571429
pM,865,1,R,pM,6,5,3,MACHINA (Clomial),2,0.6,0.6,0.6,0.4,0.4,0.4,0.285714285714,0.333333333333,0.307692307692
pM,865,0,R,pM,6,5,3,MACHINA (Clomial),2,0.6,0.6,0.6,0.4,0.4,0.4,0.285714285714,0.333333333333,0.307692307692
pM,907,0,R,pM,8,6,3,MACHINA (Clomial),2,0.6,0.428571428571,0.5,0.666666666667,0.666666666667,0.666666666667,0.571428571429,0.5,0.533333333333
mS,0,0,R,mM,7,7,2,MACHINA (Clomial),10,1.0,0.8,0.888888888889,1.0,0.571428571429,0.727272727273,1.0,0.571428571429,0.727272727273
mS,10,0,R,mS,4,4,2,MACHINA (Clomial),4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
mS,12,1,R,mPS,4,4,1,MACHINA (Clomial),0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mS,12,0,R,mPS,4,4,1,MACHINA (Clomial),0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
