pattern,seed,mut_tree,enforced,inferred,mu,gamma,sigma,method,RF,recallT,precisionT,FscoreT,recallG,precisionG,FscoreG,recallMultiG,precisionMultiG,FscoreMultiG
pM,172,1,R,pM,13,10,3,MACHINA (PyClone),8,0.6,0.6,0.6,0.181818181818,0.2,0.190476190476,0.142857142857,0.153846153846,0.148148148148
pM,19,0,R,pM,9,8,3,MACHINA (PyClone),6,0.714285714286,0.833333333333,0.769230769231,0.5,0.5,0.5,0.444444444444,0.444444444444,0.444444444444
pM,216,1,R,pM,11,8,4,MACHINA (PyClone),15,0.333333333333,0.333333333333,0.333333333333,0.5,0.5,0.5,0.555555555556,0.454545454545,0.5
pM,216,0,R,pM,11,8,4,MACHINA (PyClone),13,0.166666666667,0.166666666667,0.166666666667,0.25,0.25,0.25,0.333333333333,0.272727272727,0.3
pM,216,2,R,pM,11,8,4,MACHINA (PyClone),15,0.333333333333,0.333333333333,0.333333333333,0.5,0.5,0.5,0.555555555556,0.454545454545,0.5
pM,239,3,R,pS,8,7,2,MACHINA (PyClone),9,0.5,0.5,0.5,0.75,0.857142857143,0.8,0.666666666667,0.75,0.705882352941
pM,239,2,R,pS,8,7,2,MACHINA (PyClone),9,0.5,0.6,0.545454545455,0.75,0.857142857143,0.8,0.666666666667,0.75,0.705882352941
pM,241,0,R,pM,9,8,3,MACHINA (PyClone),5,0.4,0.333333333333,0.363636363636,0.75,0.75,0.75,0.666666666667,0.666666666667,0.666666666667
pM,243,0,R,pR,15,11,4,MACHINA (PyClone),14,0.166666666667,0.142857142857,0.153846153846,0.444444444444,0.4,0.421052631579,0.384615384615,0.333333333333,0.357142857143
pM,35,1,R,pS,10,8,3,MACHINA (PyClone),9,0.4,0.5,0.444444444444,0.333333333333,0.375,0.352941176471,0.272727272727,0.3,0.285714285714
pM,45,3,R,pS,11,7,2,MACHINA (PyClone),5,0.6,0.6,0.6,0.222222222222,0.285714285714,0.25,0.272727272727,0.272727272727,0.272727272727
pM,45,2,R,pS,11,7,2,MACHINA (PyClone),5,0.6,0.6,0.6,0.222222222222,0.285714285714,0.25,0.272727272727,0.272727272727,0.272727272727
pM,76,0,R,pS,12,8,2,MACHINA (PyClone),6,0.428571428571,0.5,0.461538461538,0.666666666667,0.75,0.705882352941,0.7,0.583333333333,0.636363636364
pM,7,0,R,pM,10,8,3,MACHINA (PyClone),8,0.5,0.4,0.444444444444,0.333333333333,0.375,0.352941176471,0.3,0.3,0.3
mS,0,0,R,pM,10,9,3,MACHINA (PyClone),15,0.6,0.428571428571,0.5,0.875,0.777777777778,0.823529411765,0.875,0.7,0.777777777778
mS,10,0,R,mS,7,7,2,MACHINA (PyClone),6,1.0,1.0,1.0,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286
mS,12,0,R,pS,11,8,2,MACHINA (PyClone),11,0.5,0.25,0.333333333333,0.875,0.875,0.875,0.875,0.636363636364,0.736842105263
mS,2,0,R,pS,9,8,2,MACHINA (PyClone),6,0.5,0.333333333333,0.4,0.25,0.25,0.25,0.25,0.222222222222,0.235294117647
mS,3,0,R,pS,10,8,2,MACHINA (PyClone),12,0.6,0.6,0.6,0.875,0.875,0.875,0.875,0.7,0.777777777778
mS,4,0,R,pS,8,7,2,MACHINA (PyClone),6,0.6,0.6,0.6,0.857142857143,0.857142857143,0.857142857143,0.857142857143,0.75,0.8
mS,5,2,R,mPS,7,7,1,MACHINA (PyClone),4,0.333333333333,0.166666666667,0.222222222222,1.0,1.0,1.0,1.0,1.0,1.0
mS,7,0,R,pPS,10,7,1,MACHINA (PyClone),6,0.666666666667,0.5,0.571428571429,1.0,1.0,1.0,1.0,0.7,0.823529411765
mS,8,2,R,pS,10,8,2,MACHINA (PyClone),13,0.25,0.142857142857,0.181818181818,0.875,0.875,0.875,0.875,0.7,0.777777777778
mS,9,0,R,pS,11,8,4,MACHINA (PyClone),13,0.333333333333,0.2,0.25,0.875,0.875,0.875,0.875,0.636363636364,0.736842105263
pR,10046,1,R,pS,9,7,2,MACHINA (PyClone),10,0.333333333333,0.5,0.4,0.875,1.0,0.933333333333,0.818181818182,1.0,0.9
pR,10157,1,R,pPS,9,7,1,MACHINA (PyClone),6,0.4,0.666666666667,0.5,0.25,0.285714285714,0.266666666667,0.333333333333,0.333333333333,0.333333333333
pR,1070,1,R,pPS,8,7,1,MACHINA (PyClone),9,0.5,0.6,0.545454545455,0.375,0.428571428571,0.4,0.333333333333,0.375,0.352941176471
pR,157,0,R,pS,18,10,2,MACHINA (PyClone),14,0.333333333333,0.333333333333,0.333333333333,0.272727272727,0.3,0.285714285714,0.25,0.166666666667,0.2
pR,30342,1,R,pS,11,7,2,MACHINA (PyClone),9,1.0,0.5,0.666666666667,0.625,0.714285714286,0.666666666667,0.7,0.636363636364,0.666666666667
pR,383,1,R,pM,10,8,2,MACHINA (PyClone),9,0.25,0.333333333333,0.285714285714,0.333333333333,0.375,0.352941176471,0.3,0.3,0.3
pR,383,3,R,pM,10,8,2,MACHINA (PyClone),7,0.625,0.714285714286,0.666666666667,0.333333333333,0.375,0.352941176471,0.3,0.3,0.3
pR,383,0,R,pM,10,8,2,MACHINA (PyClone),9,0.25,0.333333333333,0.285714285714,0.333333333333,0.375,0.352941176471,0.3,0.3,0.3
pR,383,2,R,pM,10,8,2,MACHINA (PyClone),7,0.625,0.833333333333,0.714285714286,0.333333333333,0.375,0.352941176471,0.3,0.3,0.3
pR,394,1,R,pS,10,8,2,MACHINA (PyClone),15,0.4,0.4,0.4,0.222222222222,0.25,0.235294117647,0.2,0.2,0.2
pR,905,0,R,pPS,9,7,1,MACHINA (PyClone),1,0.5,0.375,0.428571428571,0.375,0.428571428571,0.4,0.444444444444,0.444444444444,0.444444444444
pR,981,0,R,pS,10,8,2,MACHINA (PyClone),9,0.375,0.5,0.428571428571,0.4,0.5,0.444444444444,0.333333333333,0.4,0.363636363636
pR,9,0,R,pM,11,8,2,MACHINA (PyClone),9,0.333333333333,0.333333333333,0.333333333333,0.375,0.375,0.375,0.333333333333,0.272727272727,0.3
pS,0,0,R,pM,14,10,4,MACHINA (PyClone),13,0.333333333333,0.333333333333,0.333333333333,0.777777777778,0.7,0.736842105263,0.833333333333,0.714285714286,0.769230769231
pS,12,1,R,pS,8,7,2,MACHINA (PyClone),9,0.666666666667,0.4,0.5,0.857142857143,0.857142857143,0.857142857143,0.75,0.75,0.75
pS,23,0,R,pS,12,7,3,MACHINA (PyClone),9,0.75,0.428571428571,0.545454545455,0.857142857143,0.857142857143,0.857142857143,0.9,0.75,0.818181818182
pS,2,0,R,pM,13,8,3,MACHINA (PyClone),5,0.142857142857,0.2,0.166666666667,1.0,0.875,0.933333333333,0.909090909091,0.769230769231,0.833333333333
pS,31,0,R,pS,8,7,2,MACHINA (PyClone),7,0.4,0.4,0.4,0.428571428571,0.428571428571,0.428571428571,0.5,0.5,0.5
pS,35,3,R,pS,10,7,2,MACHINA (PyClone),7,0.5,0.285714285714,0.363636363636,0.857142857143,0.857142857143,0.857142857143,0.888888888889,0.8,0.842105263158
pS,35,1,R,pS,10,7,2,MACHINA (PyClone),7,0.5,0.285714285714,0.363636363636,0.857142857143,0.857142857143,0.857142857143,0.888888888889,0.8,0.842105263158
pS,35,2,R,pS,10,7,2,MACHINA (PyClone),7,0.5,0.285714285714,0.363636363636,0.857142857143,0.857142857143,0.857142857143,0.888888888889,0.8,0.842105263158
pS,35,0,R,pS,10,7,2,MACHINA (PyClone),7,0.5,0.333333333333,0.4,0.857142857143,0.857142857143,0.857142857143,0.888888888889,0.8,0.842105263158
pS,37,0,R,pM,9,8,3,MACHINA (PyClone),11,0.75,0.428571428571,0.545454545455,1.0,0.875,0.933333333333,1.0,0.888888888889,0.941176470588
pS,54,0,R,pS,8,7,2,MACHINA (PyClone),5,0.4,0.666666666667,0.5,0.142857142857,0.142857142857,0.142857142857,0.125,0.125,0.125
pS,5,0,R,pS,11,7,3,MACHINA (PyClone),11,0.166666666667,0.2,0.181818181818,0.571428571429,0.571428571429,0.571428571429,0.666666666667,0.545454545455,0.6
pS,69,1,R,mS,7,7,4,MACHINA (PyClone),4,0.6,0.6,0.6,0.571428571429,0.571428571429,0.571428571429,0.5,0.571428571429,0.533333333333
pS,69,0,R,mS,7,7,4,MACHINA (PyClone),6,0.6,0.6,0.6,0.571428571429,0.571428571429,0.571428571429,0.5,0.571428571429,0.533333333333
