Clone tree has 5 anatomical sites
Found 16 maximum parsimony labelings with primary 'P'
Found 16 labelings with 5 comigrations, 2 seeding sites and pR
Labeling 0: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 1: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 2: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 3: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 4: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 5: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 6: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 7: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 8: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 9: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 10: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 11: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 12: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 13: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 14: 6 migrations, 5 comigrations, 2 seeding sites and pR
Labeling 15: 6 migrations, 5 comigrations, 2 seeding sites and pR
