Clone tree has 9 anatomical sites
Found 128 maximum parsimony labelings with primary 'P'
Found 128 labelings with 9 comigrations, 3 seeding sites and pM
Labeling 0: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 1: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 2: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 3: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 4: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 5: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 6: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 7: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 8: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 9: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 10: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 11: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 12: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 13: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 14: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 15: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 16: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 17: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 18: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 19: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 20: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 21: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 22: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 23: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 24: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 25: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 26: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 27: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 28: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 29: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 30: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 31: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 32: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 33: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 34: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 35: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 36: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 37: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 38: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 39: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 40: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 41: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 42: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 43: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 44: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 45: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 46: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 47: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 48: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 49: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 50: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 51: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 52: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 53: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 54: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 55: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 56: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 57: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 58: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 59: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 60: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 61: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 62: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 63: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 64: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 65: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 66: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 67: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 68: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 69: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 70: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 71: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 72: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 73: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 74: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 75: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 76: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 77: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 78: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 79: 13 migrations, 9 comigrations, 3 seeding sites and pM
