pattern,seed,method,RF
mS,0,Neighbor joining,5
mS,10,Neighbor joining,7
mS,12,Neighbor joining,8
mS,2,Neighbor joining,6
mS,3,Neighbor joining,11
mS,4,Neighbor joining,4
mS,5,Neighbor joining,8
mS,7,Neighbor joining,7
mS,8,Neighbor joining,8
mS,9,Neighbor joining,3
pS,17,Neighbor joining,6
pS,23,Neighbor joining,12
pS,25,Neighbor joining,10
pS,31,Neighbor joining,8
pS,32,Neighbor joining,9
pS,35,Neighbor joining,7
pS,40,Neighbor joining,10
pS,49,Neighbor joining,10
pS,62,Neighbor joining,9
pS,81,Neighbor joining,10
pM,209,Neighbor joining,13
pM,473,Neighbor joining,22
pM,512,Neighbor joining,15
pM,534,Neighbor joining,12
pM,545,Neighbor joining,14
pM,565,Neighbor joining,10
pM,694,Neighbor joining,13
pM,76,Neighbor joining,13
pM,865,Neighbor joining,13
pM,907,Neighbor joining,15
pR,1140,Neighbor joining,6
pR,17,Neighbor joining,15
pR,2155,Neighbor joining,12
pR,247,Neighbor joining,11
pR,518,Neighbor joining,9
pR,538,Neighbor joining,14
pR,571,Neighbor joining,10
pR,950,Neighbor joining,13
pR,955,Neighbor joining,11
pR,981,Neighbor joining,10
