0	19;24;9;2
19;24;9;2	19;24;9;2_M4
19;24;9;2	19;24;9;2_P
19;24;9;2	19;24;9;2_M5
19;24;9;2	19;24;9;2_M1
19;24;9;2	19;24;9;2_M2
0	49;50;31;8;6;5;34;20;12;11;16
49;50;31;8;6;5;34;20;12;11;16	49;50;31;8;6;5;34;20;12;11;16_M3
0	47;35;27;40;42;36;41;51
47;35;27;40;42;36;41;51	47;35;27;40;42;36;41;51_M4
0	46;32;38;37;58
46;32;38;37;58	46;32;38;37;58_M5
0	14;26;1;25;4;13
14;26;1;25;4;13	14;26;1;25;4;13_M2
0	15;7;18;10;3
15;7;18;10;3	15;7;18;10;3_M1
GL	0
0	0_P
0	0_M5
0	0_M4
0	0_M1
0	0_M3
0	0_M2
33;43;39;29;30	44
44	44_P
19;24;9;2	33;43;39;29;30
33;43;39;29;30	33;43;39;29;30_P
49;50;31;8;6;5;34;20;12;11;16	48
48	48_M3
47;35;27;40;42;36;41;51	52;54;55
52;54;55	52;54;55_M4
46;32;38;37;58	59;56;53
59;56;53	59;56;53_M5
