8 #anatomical sites
9 #samples
53 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	113	81
0	P_0	0	P	1	1	116	74
0	P_0	0	P	2	2	199	0
0	P_0	0	P	3	3	195	0
0	P_0	0	P	4	4	184	0
0	P_0	0	P	5	5	225	0
0	P_0	0	P	6	6	204	0
0	P_0	0	P	7	7	205	0
0	P_0	0	P	8	8	204	0
0	P_0	0	P	9	9	194	0
0	P_0	0	P	10	10	207	0
0	P_0	0	P	11	11	206	0
0	P_0	0	P	12	12	138	60
0	P_0	0	P	13	13	208	0
0	P_0	0	P	14	14	230	1
0	P_0	0	P	15	15	216	1
0	P_0	0	P	16	16	146	41
0	P_0	0	P	17	17	226	0
0	P_0	0	P	18	18	205	0
0	P_0	0	P	19	19	201	0
0	P_0	0	P	20	20	205	1
0	P_0	0	P	21	21	200	0
0	P_0	0	P	22	22	150	52
0	P_0	0	P	23	23	199	1
0	P_0	0	P	24	24	210	0
0	P_0	0	P	25	25	192	0
0	P_0	0	P	26	26	200	1
0	P_0	0	P	27	27	197	1
0	P_0	0	P	28	28	182	0
0	P_0	0	P	29	29	199	0
0	P_0	0	P	30	30	199	0
0	P_0	0	P	31	36	183	0
0	P_0	0	P	32	39	191	0
0	P_0	0	P	33	40	212	0
0	P_0	0	P	34	43	188	0
0	P_0	0	P	35	44	159	42
0	P_0	0	P	36	45	206	1
0	P_0	0	P	37	48	213	0
0	P_0	0	P	38	49	149	52
0	P_0	0	P	39	50	159	1
0	P_0	0	P	40	51	134	55
0	P_0	0	P	41	52	176	0
0	P_0	0	P	42	53	190	0
0	P_0	0	P	43	54	209	0
0	P_0	0	P	44	56	223	0
0	P_0	0	P	45	57	181	0
0	P_0	0	P	46	58	210	2
0	P_0	0	P	47	60	226	0
0	P_0	0	P	48	62	193	0
0	P_0	0	P	49	67	211	0
0	P_0	0	P	50	68	193	0
0	P_0	0	P	51	70	210	0
0	P_0	0	P	52	71	213	0
1	P_1	0	P	0	0	99	67
1	P_1	0	P	1	1	109	74
1	P_1	0	P	2	2	207	0
1	P_1	0	P	3	3	217	0
1	P_1	0	P	4	4	193	0
1	P_1	0	P	5	5	194	0
1	P_1	0	P	6	6	189	0
1	P_1	0	P	7	7	215	0
1	P_1	0	P	8	8	187	0
1	P_1	0	P	9	9	189	0
1	P_1	0	P	10	10	213	0
1	P_1	0	P	11	11	202	1
1	P_1	0	P	12	12	115	85
1	P_1	0	P	13	13	207	0
1	P_1	0	P	14	14	183	0
1	P_1	0	P	15	15	184	0
1	P_1	0	P	16	16	132	64
